# IVT, I, V, T, IV, IT
0,0,0,0,0,0
1,0,0,1,0,1
2,0,0,2,0,2
3,0,0,3,0,3
4,0,0,4,0,4
5,0,0,5,0,5
6,0,0,6,0,6
7,0,0,7,0,7
8,0,1,0,1,0
9,0,1,1,1,1
10,0,1,3,1,3
11,0,1,4,1,4
12,0,1,6,1,6
13,0,1,8,1,8
14,0,1,7,1,7
15,0,2,0,2,0
16,0,2,1,2,1
17,0,2,3,2,3
18,0,2,6,2,6
19,0,3,0,3,0
20,0,3,6,3,6
21,0,3,9,3,9
22,0,3,10,3,10
23,1,0,0,4,11
24,1,0,1,4,12
25,1,0,9,4,13
26,1,0,10,4,14
27,1,1,1,5,12
28,1,4,0,6,11
29,1,4,1,6,12
30,1,4,9,6,13
31,1,4,10,6,14
32,2,2,0,7,15
33,2,2,1,7,16
34,2,2,3,7,17
35,2,5,11,8,18
36,3,0,1,9,19
37,3,2,0,10,20
38,3,2,1,10,19
39,4,0,3,11,21
40,4,1,0,12,22
41,4,1,1,12,23
42,4,1,3,12,21
43,4,2,0,13,22
44,4,2,1,13,23
45,4,2,3,13,21
46,4,2,6,13,24
47,4,6,0,14,22
48,4,6,1,14,23
49,4,6,3,14,21
50,4,6,6,14,24
51,4,6,12,14,25
52,4,5,1,15,23
53,4,5,3,15,21
54,5,1,0,16,26
55,5,1,1,16,27
56,5,7,13,17,28
57,5,8,13,18,28
58,6,0,2,19,29
59,6,0,5,19,30
60,6,1,0,20,31
61,6,3,0,21,31
62,6,3,6,21,32
63,6,3,9,21,33
64,6,3,10,21,34
65,7,9,0,22,35
66,7,9,1,22,36
67,8,0,8,23,37
68,8,5,1,24,38
69,9,10,2,25,39
70,10,1,0,26,40
71,10,1,4,26,41
72,10,11,0,27,40
73,10,11,1,27,42
74,11,11,1,28,43
75,0,12,14,29,44
76,1,12,14,30,45
77,2,12,14,31,46
78,3,12,14,32,47
79,4,12,14,33,48
80,5,12,14,34,49
81,6,12,14,35,50
82,7,12,14,36,51
83,8,12,14,37,52
84,10,12,14,38,53
